src_name
SE Shared Services
NOE-CPC
capitalEsourcing
Supply Hertfordshire
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT"
Coventry - Solihull - Warwickshire
Suffolk Sourcing
Procurement and Logistics Service
South Of England Procurement Centre
NEL Commissioning Support Unit
MHRA Buyer Organisation
Cumbria Housing Partners
Crescent Purchasing Consortium (CPC)
"BCH Procurement (Representing The Police and Crime Commissioners for Bedfordshire, Cambridgeshire and Hertfordshire )"
South West Police Procurement Department (SWPPD)
Partners Procurement Service
N E L Commissioning Support Unit
Cambridgeshire District Councils
PROSPER
PAGABO
Office for Students
North Warwickshire &amp; Hinckley Collaborative
North of England Commercial Procurement Collaborative (NOE CPC) (hosted by and acting through Leeds and York Partnership NHS Foundation Trust.)
North East Hampshire and Farnham (NEHF) Clinical Commissioning Group and Surrey Heath (SH) Clinical Commissioning Group
NHS Midlands and Lancashire CSU on behalf of NHS Worcestershire CCGs and NHS Herefordshire CCGs and Associated Commissioners
